No.,UserID,Date,Tweet
1,7a27c2bec49e75301f349bd52c089676ae11061079742a931f4fe4b04e8c0fd7,12-02-2016 16:31,"RT @intlspectator: F-22 Raptor  Top speed: 2,410 km/h Weight: 19,700 kg Units: 195 Cost: $150 million Combat debut: Syria, 2014 https://t.c…"
2,1ed7bad8b29b02f23eeda847bd820fe9bf23cd275c25640a4c7a1ff57c14d8ba,12-02-2016 16:31,"RT @darren_dazmav: The axis of evil  These 3 nations are destroying our world, it's got nothing to do with Muslim extremism #AxisOfEvil htt…"
3,8334dd386486e9a8b81408eb2351879f2dd302aa728485e7f0c0353728293ff0,12-02-2016 16:31,"RT @ebizim1: Rwanda is using Bdi refugees as cash crops and the result turns to be other than expected.Relocation= no solution,allow them t…"
4,b21cd35853462f01ab66298088b0c430d77ae1d2c873d27ddac5f56ec4454830,12-02-2016 16:31,TODAY: 1:08 pm ET: Ken Cuccinelli on the Rob Schilling Show – LISTEN HERE &gt;  https://t.co/A1ylnn8ogs 90D01A651F0369B738:r #CruzCrew #SC
5,3f779732cf64638280073b45e678c4c21cd702346818992a6e92c5e955050c8f,12-02-2016 16:31,RT @iran_policy: .@Offord4Hendon: We are concerned by #Iran regime's support for terrorism &amp; its #humanrights abuses. #IranElections2016 #U…
6,9bbe5a1f7b08c9860391c6b0da855598af4a0215885613f9830ef339f90b540b,12-02-2016 16:31,RT @Umairamir365: Supporting of tha people od SYRIA #MWFSupportingPeopleOfSyria https://t.co/La1oqjL1Kh
7,e6fd2db784614cd303c715cc16919a42743e45fe9932bf4cef97685d22e31f77,12-02-2016 16:31,@RedNationRising @HillaryClinton  Move to Syria!
8,0ac4487d69dcefe6b51caac9e469c847080e749e315c7d3b718408c7ed620c9b,12-02-2016 16:31,RT @iran_policy: .@sanabarghzahedi In recent months #Iran regime has faced serious hurdles in sending #Afghan fighters to #Syria. They won'…
9,5c6a86800589a500d23fd5b6d70c8914eb32ddac09cdcbb9a64f4fab750141e8,12-02-2016 16:31,"RT @intlspectator: F-22 Raptor  Top speed: 2,410 km/h Weight: 19,700 kg Units: 195 Cost: $150 million Combat debut: Syria, 2014 https://t.c…"
10,a1dd281304f35aec5b38a44b897ea44e94023d9b3952224bac4f0d0d0a5d2bf1,12-02-2016 16:31,"The mullahs' regime: Anti-freedom, misogyny R fundamentalism, State sponsor of terrorism #NO2Rouhani https://t.co/LOB8j0mzzf"
11,c48fce37748c3b392b07181f0b2119bca3467d5e59b06a18e6ba4c68bea482bd,12-02-2016 16:31,"RT @MuradoRT: #Turkey ""planning on building"" a refugee camp near rebel #Azaz... Which #Kurds/#SAA are bound to storm. Using refugees as hum…"
12,8ee0d4f195264ab8bb863493180ccd93b48acd63626f896e5e8f62deee5501d3,12-02-2016 16:31,RT @TimesNow: How is making a martyr out of a terrorist freedom of speech? Tweet your take on tonight's debate #IndiaFirst
13,480f5350aac91ba8670e06e47b72309b1386b0fb333fa49928e627d0f2972cd9,12-02-2016 16:31,@robertinccnv1 Go to YouTube and search invasion or muslim caliphate MMASSIVE MUSLIM REFUGEE INVASION OF EUROPE  https://t.co/rVhqXQw3x3
14,575f2af1cb673006d0263897e6fd954afbc7c9134f114d0dc5c34d1a4ecb2310,12-02-2016 16:31,RT @itvnews: President Bashar al-Assad vows to retake whole of Syria  https://t.co/SUqKOAdbbb https://t.co/w3QaneePGC
15,125b47d1c1c06db76653d2d758a4590a84681fbe5db96e4b428949ac536ce4a3,12-02-2016 16:31,"RT @yueyuea: Sweden: Unidentified thief who kicked, spat and hit mothers of young is Merkel Muslim…  … https://t.co/vLsMTk4qoA https://t.co…"
